dates,prices,positions,is_trade,history_balance
2012-03-08,1700.65,-47.0,0.0,86254.37999999993
2012-03-09,1713.09,-47.0,0.0,85669.69999999994
2012-03-12,1700.53,-47.0,0.0,86260.01999999993
2012-03-13,1675.5,-47.0,0.0,87436.42999999993
2012-03-14,1643.6,-48.0,1.0,88935.72999999992
2012-03-15,1658.23,-48.0,0.0,88233.4899999999
2012-03-16,1660.65,-48.0,0.0,88117.3299999999
2012-03-19,1664.55,-48.0,0.0,87930.12999999992
2012-03-20,1650.35,-48.0,0.0,88611.72999999992
2012-03-21,1650.5,-48.0,0.0,88604.52999999991
2012-03-22,1644.85,-48.0,0.0,88875.72999999992
2012-03-23,1662.26,-48.0,0.0,88040.04999999992
2012-03-26,1689.98,-48.0,0.0,86709.4899999999
2012-03-27,1680.05,-48.0,0.0,87186.12999999992
2012-03-28,1662.18,-48.0,0.0,88043.88999999991
2012-03-29,1661.38,-48.0,0.0,88082.2899999999
2012-03-30,1668.9,-48.0,0.0,87721.3299999999
2012-04-02,1677.75,-48.0,0.0,87296.52999999991
2012-04-03,1645.33,-48.0,0.0,88852.68999999992
2012-04-04,1620.23,-49.0,1.0,90057.48999999989
2012-04-05,1631.25,-49.0,0.0,89517.5099999999
2012-04-06,1639.49,-49.0,0.0,89113.7499999999
2012-04-09,1641.28,-49.0,0.0,89026.03999999989
2012-04-10,1660.35,-49.0,0.0,88091.6099999999
2012-04-11,1657.95,-49.0,0.0,88209.20999999989
2012-04-12,1675.48,-49.0,0.0,87350.23999999989
2012-04-13,1659.0,-49.0,0.0,88157.7599999999
2012-04-16,1652.1,-49.0,0.0,88495.8599999999
2012-04-17,1649.9,-49.0,0.0,88603.65999999989
2012-04-18,1642.07,-49.0,0.0,88987.3299999999
2012-04-19,1643.6,-49.0,0.0,88912.3599999999
2012-04-20,1642.7,-49.0,0.0,88956.45999999989
2012-04-23,1638.7,-49.0,0.0,89152.45999999989
2012-04-24,1641.0,-49.0,0.0,89039.7599999999
2012-04-25,1644.7,-49.0,0.0,88858.45999999989
2012-04-26,1656.9,-49.0,0.0,88260.65999999989
2012-04-27,1662.05,-49.0,0.0,88008.3099999999
2012-04-30,1664.36,-49.0,0.0,87895.1199999999
2012-05-01,1662.1,-49.0,0.0,88005.8599999999
2012-05-02,1653.5,-49.0,0.0,88427.2599999999
2012-05-03,1635.76,-49.0,0.0,89296.51999999989
2012-05-04,1642.83,-49.0,0.0,88950.0899999999
2012-05-07,1639.15,-49.0,0.0,89130.40999999989
2012-05-08,1605.0,-49.0,0.0,90803.7599999999
2012-05-09,1589.34,-49.0,0.0,91571.0999999999
2012-05-10,1593.66,-49.0,0.0,91359.41999999988
2012-05-11,1580.05,-49.0,0.0,92026.3099999999
2012-05-14,1556.85,-49.0,0.0,93163.1099999999
2012-05-15,1544.45,-51.0,1.0,93770.70999999989
2012-05-16,1540.05,-51.0,0.0,93995.10999999988
2012-05-17,1574.0,-51.0,0.0,92263.65999999989
2012-05-18,1593.09,-50.0,1.0,91290.06999999989
2012-05-21,1592.65,-50.0,0.0,91312.06999999989
2012-05-22,1568.95,-50.0,0.0,92497.06999999989
2012-05-23,1562.0,-50.0,0.0,92844.56999999989
2012-05-24,1559.0,-50.0,0.0,92994.56999999989
2012-05-25,1573.45,-50.0,0.0,92272.06999999989
2012-05-28,1573.33,-50.0,0.0,92278.06999999989
2012-05-29,1555.75,-50.0,0.0,93157.06999999989
2012-05-30,1562.45,-50.0,0.0,92822.06999999989
2012-05-31,1560.7,-50.0,0.0,92909.56999999989
2012-06-01,1626.25,-49.0,1.0,89632.06999999989
2012-06-04,1618.4,-49.0,0.0,90016.71999999988
2012-06-05,1617.1,-49.0,0.0,90080.4199999999
2012-06-06,1620.4,-49.0,0.0,89918.71999999988
2012-06-07,1589.0,-49.0,0.0,91457.31999999989
2012-06-08,1594.45,-49.0,0.0,91190.26999999989
2012-06-11,1596.45,-49.0,0.0,91092.26999999989
2012-06-12,1610.05,-49.0,0.0,90425.8699999999
2012-06-13,1618.35,-49.0,0.0,90019.1699999999
2012-06-14,1623.32,-49.0,0.0,89775.6399999999
2012-06-15,1626.76,-49.0,0.0,89607.07999999989
2012-06-18,1628.4,-49.0,0.0,89526.71999999988
2012-06-19,1618.07,-49.0,0.0,90032.8899999999
2012-06-20,1605.9,-49.0,0.0,90629.21999999988
2012-06-21,1565.3,-51.0,1.0,92618.6199999999
2012-06-22,1572.15,-51.0,0.0,92269.26999999989
2012-06-25,1584.6,-51.0,0.0,91634.3199999999
2012-06-26,1572.15,-51.0,0.0,92269.26999999989
2012-06-27,1574.3,-51.0,0.0,92159.6199999999
2012-06-28,1551.9,-51.0,0.0,93302.01999999989
2012-06-29,1598.6,-51.0,0.0,90920.3199999999
2012-07-02,1596.35,-51.0,0.0,91035.0699999999
2012-07-03,1616.65,-51.0,0.0,89999.76999999989
2012-07-04,1615.63,-51.0,0.0,90051.78999999989
2012-07-05,1604.75,49.0,1.0,90606.6699999999
2012-07-06,1582.9,49.0,0.0,89536.0199999999
2012-07-09,1587.15,49.0,0.0,89744.2699999999
2012-07-10,1566.5,49.0,0.0,88732.4199999999
2012-07-11,1576.9,49.0,0.0,89242.0199999999
2012-07-12,1572.4,49.0,0.0,89021.5199999999
2012-07-13,1589.05,49.0,0.0,89837.3699999999
2012-07-16,1589.35,49.0,0.0,89852.06999999989
2012-07-17,1582.75,49.0,0.0,89528.6699999999
2012-07-18,1573.8,49.0,0.0,89090.1199999999
2012-07-19,1582.05,49.0,0.0,89494.3699999999
2012-07-20,1583.63,49.0,0.0,89571.7899999999
2012-07-23,1576.9,49.0,0.0,89242.0199999999
2012-07-24,1580.5,49.0,0.0,89418.4199999999
2012-07-25,1605.38,49.0,0.0,90637.5399999999
2012-07-26,1616.2,49.0,0.0,91167.7199999999
2012-07-27,1623.28,49.0,0.0,91514.6399999999
2012-07-30,1621.1,49.0,0.0,91407.81999999989
