date,price
2016-12-06,1169.74
2016-12-05,1170.26
2016-12-02,1176.92
2016-12-01,1171.3
2016-11-30,1173.11
2016-11-29,1188.46
2016-11-28,1193.44
2016-11-25,1183.63
2016-11-24,1184.0
2016-11-23,1187.77
2016-11-22,1212.24
2016-11-21,1214.05
2016-11-18,1208.69
2016-11-17,1216.39
2016-11-16,1225.3
2016-11-15,1228.08
2016-11-14,1220.26
2016-11-11,1225.68
2016-11-10,1259.76
2016-11-09,1278.0
2016-11-08,1275.64
2016-11-07,1281.41
2016-11-04,1304.25
2016-11-03,1303.75
2016-11-02,1297.39
2016-11-01,1288.15
2016-10-31,1277.38
2016-10-28,1276.3
2016-10-27,1268.3
2016-10-26,1266.99
2016-10-25,1274.35
2016-10-24,1264.44
2016-10-21,1266.75
2016-10-20,1266.0
2016-10-19,1269.4
2016-10-18,1262.84
2016-10-17,1255.7
2016-10-14,1250.55
2016-10-13,1258.12
2016-10-12,1255.33
2016-10-11,1253.25
2016-10-10,1259.74
2016-10-07,1256.97
2016-10-06,1254.74
2016-10-05,1266.7
2016-10-04,1268.3
2016-10-03,1311.96
2016-09-30,1315.96
2016-09-29,1320.27
2016-09-28,1321.41
2016-09-27,1327.36
2016-09-26,1337.97
2016-09-23,1337.61
2016-09-22,1337.3
2016-09-21,1336.85
2016-09-20,1315.1
2016-09-19,1313.39
2016-09-16,1310.43
2016-09-15,1314.25
2016-09-14,1322.97
2016-09-13,1319.05
2016-09-12,1327.63
2016-09-09,1328.15
2016-09-08,1338.35
2016-09-07,1345.24
2016-09-06,1349.88
2016-09-05,1327.08
2016-09-02,1325.01
2016-09-01,1313.79
2016-08-31,1308.95
2016-08-30,1311.15
2016-08-29,1323.41
2016-08-26,1321.33
2016-08-25,1321.7
2016-08-24,1323.75
2016-08-23,1338.1
2016-08-22,1339.02
2016-08-19,1341.78
2016-08-18,1352.34
2016-08-17,1348.66
2016-08-16,1346.08
2016-08-15,1339.36
2016-08-12,1336.19
2016-08-11,1338.87
2016-08-10,1346.67
2016-08-09,1340.75
2016-08-08,1335.38
2016-08-05,1335.8
2016-08-04,1361.2
2016-08-03,1357.9
2016-08-02,1363.68
2016-08-01,1353.21
2016-07-29,1350.91
2016-07-28,1335.79
2016-07-27,1339.86
2016-07-26,1320.32
2016-07-25,1315.56
2016-07-22,1322.38
2016-07-21,1331.09
2016-07-20,1315.95
2016-07-19,1332.13
2016-07-18,1328.79
2016-07-15,1337.85
2016-07-14,1335.1
2016-07-13,1342.85
2016-07-12,1331.65
2016-07-11,1355.25
2016-07-08,1366.8
2016-07-07,1360.6
2016-07-06,1363.89
2016-07-05,1356.14
2016-07-04,1350.78
2016-07-01,1342.3
2016-06-30,1322.18
2016-06-29,1318.89
2016-06-28,1312.51
2016-06-27,1324.8
2016-06-24,1315.98
2016-06-23,1255.65
2016-06-22,1266.31
2016-06-21,1268.44
2016-06-20,1290.15
2016-06-17,1298.6
2016-06-16,1279.14
2016-06-15,1291.49
2016-06-14,1285.85
2016-06-13,1284.05
2016-06-10,1274.2
2016-06-09,1269.15
2016-06-08,1262.14
2016-06-07,1243.85
2016-06-06,1245.24
2016-06-03,1244.49
2016-06-02,1210.95
2016-06-01,1213.35
2016-05-31,1215.24
2016-05-30,1205.58
2016-05-27,1212.4
2016-05-26,1220.15
2016-05-25,1224.18
2016-05-24,1227.0
2016-05-23,1249.24
2016-05-20,1252.3
2016-05-19,1255.1
2016-05-18,1258.3
2016-05-17,1280.0
2016-05-16,1273.86
2016-05-13,1273.6
2016-05-12,1263.49
2016-05-11,1277.69
2016-05-10,1266.4
2016-05-09,1263.85
2016-05-06,1288.7
2016-05-05,1278.05
2016-05-04,1279.49
2016-05-03,1286.0
2016-05-02,1291.6
2016-04-29,1293.74
2016-04-28,1266.48
2016-04-27,1246.1
2016-04-26,1243.44
2016-04-25,1237.9
2016-04-22,1232.3
2016-04-21,1248.85
2016-04-20,1244.05
2016-04-19,1250.5
2016-04-18,1231.55
2016-04-15,1234.05
2016-04-14,1227.39
2016-04-13,1243.14
2016-04-12,1255.94
2016-04-11,1257.95
2016-04-08,1240.39
2016-04-07,1240.69
2016-04-06,1222.35
2016-04-05,1231.14
2016-04-04,1215.4
2016-04-01,1222.49
2016-03-31,1232.7
2016-03-30,1224.85
2016-03-29,1242.55
2016-03-28,1221.05
2016-03-25,1216.47
2016-03-24,1216.99
