0,1,2
2017-01-19,95486.28000000013,0.012
2017-01-05,94558.43000000012,0.012
2016-12-22,90353.57000000015,0.012
2016-12-08,89692.2400000001,0.012
2016-11-24,92906.6500000001,0.012
2016-11-10,96804.78000000013,0.012
2016-10-27,97978.73000000014,0.012
2016-10-13,100080.27000000014,0.012
2016-09-29,100194.14000000006,0.012
2016-09-15,104856.81000000006,0.012
2016-09-01,105768.2100000001,0.012
2016-08-18,104370.3600000001,0.012
2016-08-04,105631.87000000013,0.012
2016-07-21,103520.45000000008,0.012
2016-07-07,103948.30000000009,0.012
2016-06-23,100402.94000000013,0.012
2016-06-09,98888.3200000001,0.012
2016-05-26,98551.33000000006,0.012
2016-05-12,100300.34000000007,0.012
2016-04-28,101058.9300000001,0.012
2016-04-14,98313.57000000011,0.012
2016-03-31,96983.04000000008,0.012
2016-03-17,99870.58000000012,0.012
2016-03-03,99832.78000000012,0.012
2016-02-18,94696.80000000006,0.012
2016-02-04,94333.03000000007,0.012
2016-01-21,92777.91000000009,0.012
2016-01-07,88999.19000000015,0.012
2015-12-24,87598.82000000015,0.012
2015-12-10,89091.62000000014,0.012
2015-11-26,89293.45000000016,0.012
2015-11-12,92877.33000000015,0.012
2015-10-29,98517.03000000014,0.012
2015-10-15,99019.04000000015,0.012
2015-10-01,96073.22000000023,0.012
2015-09-17,89302.12000000017,0.012
2015-09-03,84844.97000000015,0.012
2015-08-20,87987.26000000017,0.012
2015-08-06,81390.50000000017,0.012
2015-07-23,79918.18000000015,0.012
2015-07-09,85312.81000000017,0.012
2015-06-25,84083.02000000014,0.012
2015-06-11,85887.63000000015,0.012
2015-05-28,86675.71000000014,0.012
2015-05-14,90017.64000000007,0.012
2015-04-30,95033.36000000007,0.012
2015-04-16,94053.11000000004,0.012
2015-04-02,97050.63000000008,0.012
2015-03-19,93282.20000000004,0.012
2015-03-05,93824.88000000009,0.012
2015-02-19,94071.38000000006,0.012
2015-02-05,99613.82000000004,0.012
2015-01-22,100155.24000000009,0.012
2015-01-08,98612.85000000011,0.012
2014-12-24,98171.73000000005,0.012
2014-12-10,102590.45000000006,0.012
2014-11-26,103702.63,0.012
2014-11-12,105586.49999999997,0.012
2014-10-29,106323.06,0.012
2014-10-15,109904.96000000005,0.012
2014-10-01,106594.61000000003,0.012
2014-09-17,106709.51999999999,0.012
